,student_id,question_no,student_answer,teacher_answer,score
0,201,q1,"Photosynthesis is the process where green plants use sunlight, water, and carbon dioxide to create their own food. The pigment chlorophyll is crucial for this conversion.","Photosynthesis is the process by which green plants use sunlight to synthesize foods from carbon dioxide and water. The key components required are sunlight, water, carbon dioxide, and the pigment chlorophyll.",3.0
1,201,q2,"Newton's Second Law explains that the acceleration of an object is directly proportional to the net force applied and inversely proportional to its mass, as shown in the formula F = ma.",Newton's Second Law states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as the formula $F = ma$.,3.0
2,201,q3,"The Dandi March was a strategic act of nonviolent civil disobedience led by Gandhi to protest the British monopoly and tax on salt, aiming to challenge their authority.",The Dandi March was an act of nonviolent civil disobedience to protest the unjust British salt tax. Its wider objective was to challenge British authority and galvanize the population for independence.,2.5
3,201,q4,"Sedimentary rocks are formed through the deposition of sediments from other rocks, which then undergo a process of compaction and cementation over millions of years.","Sedimentary rocks are formed from the accumulation of sediments from pre-existing rocks. These sediments are deposited in layers and then undergo compaction and cementation over time, hardening into rock.",2.5
4,201,q5,"An Operating System serves as an interface between the user and hardware, managing all software and hardware resources. A key function is process management.","An Operating System acts as an intermediary between the user and computer hardware, managing all resources. A key function is memory management, which allocates memory to programs.",2.5
5,201,q6,"A neutralisation reaction is a chemical reaction between an acid and a base, which results in the formation of a salt and water.",A neutralisation reaction is a chemical reaction between an acid and a base. The reaction results in the formation of two main products: a salt and water.,3.0
6,201,q7,Democracy is a system of government where the people elect their representatives. It is founded on principles like free and fair elections and the rule of law.,"Democracy is a system of government by the people, through freely elected representatives. Two fundamental principles are ensuring free and fair elections and upholding the rule of law for all citizens.",2.5
7,201,q8,"Producers, or autotrophs, create their own food, typically using sunlight. Consumers, or heterotrophs, must ingest other organisms to obtain energy.","Producers, like plants, are autotrophs that create their own food using sunlight. Consumers are heterotrophs that cannot make their own food and must obtain energy by eating other organisms.",3.0
8,201,q9,"An IP address is a unique numerical label given to each device on a network, which is necessary for identifying the device and addressing its location for data routing.","An IP address is a unique numerical label assigned to a device on a network. It is necessary for identification of the device and for location addressing, which allows data to be routed correctly.",3.0
9,201,q10,"The law of conservation of energy states that in an isolated system, energy cannot be created or destroyed, but it can be transformed from one form to another.",The law of conservation of energy states that energy cannot be created or destroyed. It can only be transformed or transferred from one form to another in an isolated system.,3.0
10,202,q1,Plants get food from the ground with their roots.,"Photosynthesis is the process by which green plants use sunlight to synthesize foods from carbon dioxide and water. The key components required are sunlight, water, carbon dioxide, and the pigment chlorophyll.",0.0
11,202,q2,"For every action, there is an equal and opposite reaction.",Newton's Second Law states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as the formula $F = ma$.,0.0
12,202,q3,It was a long walk for peace in India.,The Dandi March was an act of nonviolent civil disobedience to protest the unjust British salt tax. Its wider objective was to challenge British authority and galvanize the population for independence.,0.0
13,202,q4,Rocks from volcanoes.,"Sedimentary rocks are formed from the accumulation of sediments from pre-existing rocks. These sediments are deposited in layers and then undergo compaction and cementation over time, hardening into rock.",0.0
14,202,q5,An OS is a software like Google Chrome.,"An Operating System acts as an intermediary between the user and computer hardware, managing all resources. A key function is memory management, which allocates memory to programs.",0.5
15,202,q6,When you mix two chemicals together.,A neutralisation reaction is a chemical reaction between an acid and a base. The reaction results in the formation of two main products: a salt and water.,0.0
16,202,q7,A country with a king or queen.,"Democracy is a system of government by the people, through freely elected representatives. Two fundamental principles are ensuring free and fair elections and upholding the rule of law for all citizens.",0.0
17,202,q8,A producer is a company that makes things and a consumer is who buys them.,"Producers, like plants, are autotrophs that create their own food using sunlight. Consumers are heterotrophs that cannot make their own food and must obtain energy by eating other organisms.",1.0
